nconst	primaryName	knownForTitles
nm0001328	Howard Hawks	['tt0040724', 'tt0061619', 'tt0053221', 'tt0056059']
nm0164203	Les Clark	['tt0053285', 'tt0048280', 'tt0029583', 'tt0033563']
nm0314671	Clyde Geronimi	['tt0042332', 'tt0043274', 'tt0046183', 'tt0048280']
nm0488981	Eric Larson	['tt0053285', 'tt0048280', 'tt0029583', 'tt0058331']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0000419	Jean-Luc Godard	['tt0057869', 'tt0056663', 'tt0058898', 'tt0059592']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0000019	Federico Fellini	['tt0056801', 'tt0050783', 'tt0047528', 'tt0053779']
nm0836328	John Sturges	['tt0057115', 'tt0054047', 'tt0047849', 'tt0050468']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0001175	Blake Edwards	['tt0075066', 'tt0072081', 'tt0084865', 'tt0051301']
nm0496746	J. Lee Thompson	['tt0054953', 'tt0051204', 'tt0068408', 'tt0055824']
nm0744035	Robert Rossen	['tt0054997', 'tt0041113', 'tt0048937', 'tt0058294']
nm0006452	Stanley Kramer	['tt0055031', 'tt0061735', 'tt0053946', 'tt0051525']
nm0314671	Clyde Geronimi	['tt0042332', 'tt0043274', 'tt0046183', 'tt0048280']
nm0527217	Hamilton Luske	['tt0042332', 'tt0032910', 'tt0058331', 'tt0043274']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0730385	Jerome Robbins	['tt0055614', 'tt3581652', 'tt0049408', 'tt0067093']
nm0936404	Robert Wise	['tt0055614', 'tt0059742', 'tt0066769', 'tt0057129']
nm0000041	Akira Kurosawa	['tt0051808', 'tt0080979', 'tt0089881', 'tt0047478']
nm0950109	Terence Young	['tt0055928', 'tt0059800', 'tt0057076', 'tt0062467']
nm0462030	Masaki Kobayashi	['tt0056058', 'tt0061847', 'tt0055233', 'tt0053114']
nm0000180	David Lean	['tt0056172', 'tt0059113', 'tt0050212', 'tt0038574']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0002175	Ken Annakin	['tt0056197', 'tt0084504', 'tt0059797', 'tt0064688']
nm0554249	Andrew Marton	['tt0052618', 'tt0056197', 'tt0069947', 'tt0065938']
nm0926919	Bernhard Wicki	['tt0056197', 'tt0052654', 'tt0055183', 'tt0098370']
nm0000406	John Ford	['tt0045061', 'tt0032551', 'tt0033729', 'tt0031971']
nm0001239	John Frankenheimer	['tt0056218', 'tt0116654', 'tt0058576', 'tt0119189']
nm0612322	Robert Mulligan	['tt0056592', 'tt0067803', 'tt0069050', 'tt0057263']
nm0000736	Robert Aldrich	['tt0070030', 'tt0071771', 'tt0056687', 'tt0061578']
nm0000019	Federico Fellini	['tt0056801', 'tt0050783', 'tt0047528', 'tt0053779']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0002045	Stanley Donen	['tt0056923', 'tt0045152', 'tt0050419', 'tt0047472']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0950109	Terence Young	['tt0055928', 'tt0059800', 'tt0057076', 'tt0062467']
nm0836328	John Sturges	['tt0057115', 'tt0054047', 'tt0047849', 'tt0050468']
nm0001175	Blake Edwards	['tt0075066', 'tt0072081', 'tt0084865', 'tt0051301']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0000041	Akira Kurosawa	['tt0051808', 'tt0080979', 'tt0089881', 'tt0047478']
nm0357891	Guy Hamilton	['tt0070328', 'tt0058150', 'tt0066995', 'tt0071807']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0829038	Robert Stevenson	['tt0058331', 'tt0066817', 'tt0028033', 'tt0029081']
nm0002030	George Cukor	['tt0058385', 'tt0036855', 'tt0032904', 'tt0050631']
nm0001466	Sergio Leone	['tt0087843', 'tt0067140', 'tt0064116', 'tt0058461']
nm0690597	Gillo Pontecorvo	['tt0058946', 'tt0052961', 'tt0079655', 'tt0064866']
nm0000180	David Lean	['tt0056172', 'tt0059113', 'tt0050212', 'tt0038574']
nm0001466	Sergio Leone	['tt0087843', 'tt0067140', 'tt0064116', 'tt0058461']
nm0000591	Roman Polanski	['tt0071315', 'tt0074811', 'tt1139328', 'tt0063522']
nm0936404	Robert Wise	['tt0055614', 'tt0059742', 'tt0066769', 'tt0057129']
nm0950109	Terence Young	['tt0055928', 'tt0059800', 'tt0057076', 'tt0062467']
nm0001789	Andrei Tarkovsky	['tt0091670', 'tt0069293', 'tt0086022', 'tt0079944']
nm0000774	Michelangelo Antonioni	['tt0060176', 'tt0053619', 'tt0073580', 'tt0047821']
nm0001466	Sergio Leone	['tt0087843', 'tt0067140', 'tt0064116', 'tt0058461']
nm0000005	Ingmar Bergman	['tt0050986', 'tt0083922', 'tt0050976', 'tt0069467']
nm0001566	Mike Nichols	['tt0061722', 'tt0376541', 'tt0061184', 'tt0115685']
