nconst	primaryName	knownForTitles
nm0049055	William Bakewell	['tt0020629', 'tt0031381', 'tt0040745', 'tt0021263']
nm0322345	Russell Gleason	['tt0020629', 'tt0030164', 'tt0029643', 'tt0029332']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0616729	Harry Myers	['tt0021749', 'tt1204019', 'tt0012067', 'tt0012881']
nm0305087	Al Ernest Garcia	['tt0027977', 'tt0018773', 'tt0021749', 'tt0187452']
nm0003424	Hank Mann	['tt0027977', 'tt0032553', 'tt0021749', 'tt0403878']
nm0008609	Johnny Aber	['tt0235076', 'tt0234751', 'tt0234861', 'tt0234787']
nm1033905	Jack Alexander	[]
nm1035024	T.S. Alexander	[]
nm1033907	Victor Alexander	[]
nm0000509	Bela Lugosi	['tt0021814', 'tt0024894', 'tt0031951', 'tt0024188']
nm0543115	David Manners	['tt0021814', 'tt0023245', 'tt0024894', 'tt0023935']
nm0296859	Dwight Frye	['tt0026138', 'tt0021814', 'tt0021884', 'tt0022111']
nm0888000	Edward Van Sloan	['tt0021884', 'tt0021814', 'tt0023245', 'tt0027545']
nm0120557	Herbert Bunston	['tt0021814', 'tt0020081', 'tt0025515', 'tt0023652']
nm0314699	Charles K. Gerrard	['tt0021814', 'tt0021013', 'tt0014408', 'tt0016643']
nm0166972	Colin Clive	['tt0021884', 'tt0026138', 'tt0026663', 'tt0029002']
nm0000472	Boris Karloff	['tt0026138', 'tt0023245', 'tt0024894', 'tt0023194']
nm0092900	John Boles	['tt0021884', 'tt0025393', 'tt0024819', 'tt0019813']
nm0888000	Edward Van Sloan	['tt0021884', 'tt0021814', 'tt0023245', 'tt0027545']
nm0449694	Frederick Kerr	['tt0021884', 'tt0021281', 'tt0021647', 'tt0021042']
nm0296859	Dwight Frye	['tt0026138', 'tt0021814', 'tt0021884', 'tt0022111']
nm0069373	Lionel Belmore	['tt0021884', 'tt0016627', 'tt0024727', 'tt0013450']
nm0082501	Ted Billings	['tt0026138', 'tt0007669', 'tt0013133', 'tt0019816']
nm0000048	Peter Lorre	['tt0022100', 'tt0036613', 'tt0034583', 'tt0033870']
nm0921532	Otto Wernicke	['tt0022100', 'tt0023563', 'tt0036443', 'tt0028064']
nm0519765	Theodor Loos	['tt0022100', 'tt0017136', 'tt0015175', 'tt0132145']
nm0345073	Gustaf Gründgens	['tt0022100', 'tt0159449', 'tt0163624', 'tt0025116']
nm0323479	Friedrich Gnaß	['tt0022100', 'tt0021784', 'tt0023373', 'tt0026500']
nm0643997	Fritz Odemar	['tt0022100', 'tt0027770', 'tt0020619', 'tt0026596']
nm0447349	Paul Kemp	['tt0022100', 'tt0027374', 'tt0026069', 'tt0024967']
nm0003586	Theo Lingen	['tt0022100', 'tt0023563', 'tt0799833', 'tt0220614']
nm0285922	Wallace Ford	['tt0022913', 'tt0059573', 'tt0042546', 'tt0036342']
nm0040374	Roscoe Ates	['tt0022913', 'tt0021927', 'tt0039052', 'tt0022273']
nm0896109	Henry Victor	['tt0035446', 'tt0022913', 'tt0333838', 'tt0017667']
nm0247361	Harry Earles	['tt0022913', 'tt0016473', 'tt0021505', 'tt0019472']
nm0000050	Groucho Marx	['tt0026778', 'tt0023969', 'tt0028772', 'tt0031060']
nm0555617	Harpo Marx	['tt0026778', 'tt0023969', 'tt0023027', 'tt0016439']
nm0555597	Chico Marx	['tt0023969', 'tt0026778', 'tt0020640', 'tt0028772']
nm0555688	Zeppo Marx	['tt0023969', 'tt0023027', 'tt0020640', 'tt0022158']
nm2580347	The Marx Brothers	['tt0023969', 'tt0023027', 'tt0022158', 'tt0020640']
nm0129894	Louis Calhern	['tt0023969', 'tt0038787', 'tt0042208', 'tt0049314']
nm0106785	Edmund Breese	['tt0023969', 'tt0022268', 'tt0023038', 'tt0018733']
nm0455893	Leonid Kinskey	['tt0034583', 'tt0023969', 'tt0033373', 'tt0022675']
nm0035877	Robert Armstrong	['tt0024216', 'tt0024593', 'tt0023327', 'tt0026393']
nm0127677	Bruce Cabot	['tt0024216', 'tt0066831', 'tt0052106', 'tt0057298']
nm0717046	Frank Reicher	['tt0024216', 'tt0024593', 'tt0032412', 'tt0036697']
nm0362742	Sam Hardy	['tt0024216', 'tt0025905', 'tt0022153', 'tt0026676']
nm0425903	Noble Johnson	['tt0024216', 'tt0023245', 'tt0023238', 'tt0021149']
nm0166170	Steve Clemente	['tt0024216', 'tt0023238', 'tt0019381', 'tt0345972']
nm0281329	James Flavin	['tt0024216', 'tt0038988', 'tt0061809', 'tt0038417']
nm0010017	Walter Ackerman	['tt0000966', 'tt0017655', 'tt0017591', 'tt1690452']
nm0011490	James Adamson	['tt0034929', 'tt0047708', 'tt0028768', 'tt0029592']
nm0000022	Clark Gable	['tt0025316', 'tt0031381', 'tt0026752', 'tt0055184']
nm0175369	Walter Connolly	['tt0025316', 'tt0025919', 'tt0029322', 'tt0024240']
nm0439850	Roscoe Karns	['tt0032599', 'tt0025919', 'tt0025316', 'tt0035567']
nm0858977	Jameson Thomas	['tt0025316', 'tt0018876', 'tt0025515', 'tt0020269']
nm0002118	Alan Hale	['tt0029843', 'tt0033028', 'tt0033149', 'tt0025316']
nm0398446	Arthur Hoyt	['tt0025316', 'tt0016039', 'tt0021357', 'tt0023384']
nm0933161	Charles C. Wilson	['tt0025316', 'tt0040171', 'tt0028171', 'tt0028219']
nm0010958	Ernie Adams	['tt0035211', 'tt0032753', 'tt0033760', 'tt0035031']
nm0232196	Robert Donat	['tt0026029', 'tt0031385', 'tt0025004', 'tt0051776']
nm0853607	Godfrey Tearle	['tt0026029', 'tt0037058', 'tt0035153', 'tt0045675']
nm0491406	John Laurie	['tt0026029', 'tt0047094', 'tt0053994', 'tt0062552']
nm0148144	Frank Cellier	['tt0026029', 'tt0027938', 'tt0026649', 'tt0028033']
nm0914931	Wylie Watson	['tt0026029', 'tt0042040', 'tt0031505', 'tt0032148']
nm0573790	Gus McNaughton	['tt0026029', 'tt0024248', 'tt0028043', 'tt0029612']
nm0000472	Boris Karloff	['tt0026138', 'tt0023245', 'tt0024894', 'tt0023194']
nm0166972	Colin Clive	['tt0021884', 'tt0026138', 'tt0026663', 'tt0029002']
nm0857658	Ernest Thesiger	['tt0026138', 'tt0044008', 'tt0046247', 'tt0023293']
nm0330200	Gavin Gordon	['tt0026138', 'tt0024368', 'tt0025746', 'tt0052602']
nm0910498	Douglas Walton	['tt0026138', 'tt0025004', 'tt0037101', 'tt0037988']
nm0166974	E.E. Clive	['tt0026138', 'tt0024184', 'tt0031448', 'tt0032963']
nm0698139	Lucien Prival	['tt0026138', 'tt0030473', 'tt0017626', 'tt0025712']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0074788	Henry Bergman	['tt0027977', 'tt0021749', 'tt0015864', 'tt0018773']
nm0761866	Tiny Sandford	['tt0027977', 'tt0018773', 'tt0020030', 'tt0022251']
nm0174682	Chester Conklin	['tt0027977', 'tt0016548', 'tt0032553', 'tt0017411']
nm0003424	Hank Mann	['tt0027977', 'tt0032553', 'tt0021749', 'tt0403878']
nm0090008	Stanley Blystone	['tt0027977', 'tt0040333', 'tt0026223', 'tt0023013']
nm0305087	Al Ernest Garcia	['tt0027977', 'tt0018773', 'tt0021749', 'tt0187452']
nm0018685	Richard Alexander	['tt0020629', 'tt0027977', 'tt0027623', 'tt0019532']
nm0721637	Cecil Reynolds	['tt0027977']
nm0830968	Harry Stockwell	['tt0026466', 'tt0028568', 'tt0026144', 'tt0070908']
nm0830968	Harry Stockwell	['tt0026466', 'tt0028568', 'tt0026144', 'tt0070908']
nm0041165	Roy Atwell	['tt0010244', 'tt0014497', 'tt0028619', 'tt0034736']
nm0041165	Roy Atwell	['tt0010244', 'tt0014497', 'tt0028619', 'tt0034736']
nm0118081	Stuart Buchanan	[]
nm0118081	Stuart Buchanan	[]
nm0172287	Eddie Collins	['tt0032264', 'tt0029984', 'tt0031511', 'tt0032155']
nm0172287	Eddie Collins	['tt0032264', 'tt0029984', 'tt0031511', 'tt0032155']
nm0172287	Eddie Collins	['tt0032264', 'tt0029984', 'tt0031511', 'tt0032155']
nm0172287	Eddie Collins	['tt0032264', 'tt0029984', 'tt0031511', 'tt0032155']
nm0173416	Pinto Colvig	['tt14705552', 'tt0018951', 'tt15777738', 'tt0167545']
nm0173416	Pinto Colvig	['tt14705552', 'tt0018951', 'tt15777738', 'tt0167545']
nm0173416	Pinto Colvig	['tt14705552', 'tt0018951', 'tt15777738', 'tt0167545']
nm0173416	Pinto Colvig	['tt14705552', 'tt0018951', 'tt15777738', 'tt0167545']
nm0173416	Pinto Colvig	['tt14705552', 'tt0018951', 'tt15777738', 'tt0167545']
nm0173416	Pinto Colvig	['tt14705552', 'tt0018951', 'tt15777738', 'tt0167545']
nm0317970	Billy Gilbert	['tt0032599', 'tt0032553', 'tt0039404', 'tt0029923']
nm0317970	Billy Gilbert	['tt0032599', 'tt0032553', 'tt0039404', 'tt0029923']
nm0363227	Otis Harlan	['tt0020402', 'tt0026714', 'tt0141659', 'tt0024784']
nm0363227	Otis Harlan	['tt0020402', 'tt0026714', 'tt0141659', 'tt0024784']
nm0001224	Errol Flynn	['tt0029843', 'tt0040076', 'tt0026174', 'tt0041955']
nm0001651	Basil Rathbone	['tt0029843', 'tt0020081', 'tt0035317', 'tt0036348']
nm0001647	Claude Rains	['tt0034583', 'tt0038787', 'tt0024184', 'tt0031679']
nm0461549	Patric Knowles	['tt0029843', 'tt0034398', 'tt0039504', 'tt0035899']
nm0657874	Eugene Pallette	['tt0029843', 'tt0028010', 'tt0031679', 'tt0032762']
nm0002118	Alan Hale	['tt0029843', 'tt0033028', 'tt0033149', 'tt0025316']
nm0178259	Melville Cooper	['tt0029843', 'tt0032976', 'tt0048960', 'tt0033804']
nm0402842	Ian Hunter	['tt0029843', 'tt0033553', 'tt0031580', 'tt0018328']
nm0000026	Cary Grant	['tt0053125', 'tt0056923', 'tt0034248', 'tt0038787']
nm0749476	Charles Ruggles	['tt0055277', 'tt0024359', 'tt0039502', 'tt0026955']
nm0146185	Walter Catlett	['tt0027996', 'tt0029947', 'tt0021890', 'tt0027075']
nm0280178	Barry Fitzgerald	['tt0045061', 'tt0036872', 'tt0033729', 'tt0037515']
nm0270915	Fritz Feld	['tt0029947', 'tt0064418', 'tt0293892', 'tt0082517']
nm0410271	George Irving	['tt0029947', 'tt0018134', 'tt0009278', 'tt0007445']
nm0714878	Michael Redgrave	['tt0030341', 'tt0043362', 'tt0055018', 'tt0039636']
nm0510134	Paul Lukas	['tt0036515', 'tt0046672', 'tt0030341', 'tt0026187']
nm0662116	Cecil Parker	['tt0030341', 'tt0049096', 'tt0050100', 'tt0048281']
nm0915614	Naunton Wayne	['tt0030341', 'tt0032842', 'tt0031192', 'tt0037635']
nm0705509	Basil Radford	['tt0030341', 'tt0032842', 'tt0042040', 'tt0031192']
nm0096376	Emile Boreo	['tt0030341', 'tt0029615', 'tt0039244', 'tt12820258']
nm0000022	Clark Gable	['tt0025316', 'tt0031381', 'tt0026752', 'tt0055184']
nm0593775	Thomas Mitchell	['tt0031971', 'tt0031381', 'tt0038650', 'tt0031679']
nm0001660	George Reeves	['tt0044231', 'tt0031381', 'tt0044091', 'tt0041096']
nm0186347	Fred Crane	['tt0031381', 'tt0056758', 'tt0041405', 'tt0057779']
nm0689318	Oscar Polk	['tt0031381', 'tt0027700', 'tt0035244', 'tt0027812']
