tconst	primaryTitle	startYear	genres	actors	directors
tt0044079	Strangers on a Train	1951.0	['Crime', 'Drama', 'Film-Noir']	['nm0335048', 'nm0908153', 'nm0001991', 'nm0354947', 'nm0820643', 'nm0113876']	['nm0000033']
tt0044081	A Streetcar Named Desire	1951.0	['Drama']	['nm0000008', 'nm0001500', 'nm0094036', 'nm0219528', 'nm0455389', 'nm0308257']	['nm0001415']
tt0044706	High Noon	1952.0	['Drama', 'Thriller', 'Western']	['nm0000011', 'nm0593775', 'nm0000978', 'nm0472603', 'nm0001033', 'nm0604702', 'nm0531756']	['nm0003593']
tt0044741	Ikiru	1952.0	['Drama']	['nm0793766', 'nm0437520', 'nm0385443', 'nm0848984', 'nm0156928', 'nm0383091', 'nm0945253', 'nm0297869', 'nm0462182']	['nm0000041']
tt0045152	Singin' in the Rain	1952.0	['Comedy', 'Musical', 'Romance']	['nm0000037', 'nm0640307', 'nm0593612', 'nm0288830', 'nm0017021']	['nm0002045', 'nm0000037']
tt0045793	From Here to Eternity	1953.0	['Drama', 'Romance', 'War']	['nm0000044', 'nm0001050', 'nm0000069', 'nm0643211', 'nm0789485', 'nm0068772', 'nm0000308', 'nm0912001']	['nm0003593']
tt0046183	Peter Pan	1953.0	['Adventure', 'Animation', 'Family']	['nm0237985', 'nm0175788', 'nm0175788', 'nm0859892', 'nm0859892', 'nm0172598', 'nm0527220', 'nm0133752', 'nm0007218', 'nm0243425']	['nm0314671', 'nm0414144', 'nm0527217']
tt0046250	Roman Holiday	1953.0	['Comedy', 'Drama', 'Romance']	['nm0000060', 'nm0000734', 'nm0694403', 'nm0930732', 'nm0138479', 'nm0137567', 'nm0259599']	['nm0943758']
tt0046268	The Wages of Fear	1953.0	['Adventure', 'Drama', 'Thriller']	['nm0598971', 'nm0889024', 'nm0886870', 'nm0525793', 'nm0875630', 'nm0603916', 'nm0221782', 'nm0148294', 'nm0209759']	['nm0167241']
tt0046359	Stalag 17	1953.0	['Comedy', 'Drama', 'War']	['nm0000034', 'nm0852279', 'nm0695937', 'nm0833865', 'nm0501183', 'nm0258757', 'nm0336335', 'nm0104507', 'nm0750079', 'nm0601620']	['nm0000697']
tt0046438	Tokyo Story	1953.0	['Drama']	['nm0753479', 'nm0945522', 'nm0867391', 'nm0620206', 'nm0651506']	['nm0654868']
tt0046911	Diabolique	1955.0	['Crime', 'Drama', 'Horror']	['nm0582890', 'nm0889024', 'nm0110494', 'nm0785664', 'nm0150115', 'nm0197592', 'nm0350247']	['nm0167241']
tt0046912	Dial M for Murder	1954.0	['Crime', 'Thriller']	['nm0001537', 'nm0191950', 'nm0002369', 'nm0206060', 'nm0110063', 'nm0019996', 'nm0500216', 'nm0017579', 'nm0400902']	['nm0000033']
tt0047296	On the Waterfront	1954.0	['Crime', 'Drama', 'Thriller']	['nm0000008', 'nm0001500', 'nm0002011', 'nm0001768', 'nm0377416', 'nm0002063', 'nm0922599', 'nm0301977', 'nm0561157', 'nm0357910']	['nm0001415']
tt0047396	Rear Window	1954.0	['Mystery', 'Thriller']	['nm0000071', 'nm0179819', 'nm0000994', 'nm0046564', 'nm0128326']	['nm0000033']
tt0047437	Sabrina	1954.0	['Comedy', 'Drama', 'Romance']	['nm0000007', 'nm0000034', 'nm0358899', 'nm0002369', 'nm0197950', 'nm0384787']	['nm0000697']
tt0047478	Seven Samurai	1954.0	['Action', 'Drama']	['nm0001536', 'nm0793766', 'nm0297869', 'nm0441961', 'nm0454087', 'nm0156928', 'nm0594348', 'nm0467566']	['nm0000041']
tt0047528	La Strada	1954.0	['Drama']	['nm0000063', 'nm0000865', 'nm0798570', 'nm0147566', 'nm0320399', 'nm1856108']	['nm0000019']
tt0047673	White Christmas	1954.0	['Comedy', 'Musical', 'Romance']	['nm0001078', 'nm0001414', 'nm0415591', 'nm0105351', 'nm0023007']	['nm0002031']
tt0048280	Lady and the Tramp	1955.0	['Adventure', 'Animation', 'Comedy']	['nm0731333', 'nm0859892', 'nm0859892', 'nm0859892', 'nm0061649', 'nm0321473', 'nm0587679', 'nm0587679', 'nm0292677', 'nm0715284']	['nm0314671', 'nm0414144', 'nm0527217']
tt0048424	The Night of the Hunter	1955.0	['Crime', 'Drama', 'Film-Noir']	['nm0000053', 'nm0322299', 'nm0336335', 'nm0065975', 'nm0152159']	['nm0001452']
tt0048545	Rebel Without a Cause	1955.0	['Drama']	['nm0000015', 'nm0000543', 'nm0000822', 'nm0001904', 'nm0394438', 'nm0000454', 'nm0686857']	['nm0712947']
tt0048728	To Catch a Thief	1955.0	['Mystery', 'Romance', 'Thriller']	['nm0000026', 'nm0002369', 'nm0889024', 'nm0553361', 'nm0012438', 'nm0017580']	['nm0000033']
tt0049223	Forbidden Planet	1956.0	['Adventure', 'Sci-Fi']	['nm0682074', 'nm0000558', 'nm0828838', 'nm0446438', 'nm0027323', 'nm0391096', 'nm0908647', 'nm0228718', 'nm0860302']	['nm0928208']
tt0049366	Invasion of the Body Snatchers	1956.0	['Drama', 'Horror', 'Sci-Fi']	['nm0002994', 'nm0309588', 'nm0233014', 'nm0241589', 'nm0264900', 'nm0666292']	['nm0796923']
tt0049406	The Killing	1956.0	['Crime', 'Drama', 'Film-Noir']	['nm0001330', 'nm0250436', 'nm0282435', 'nm0208125', 'nm0176879', 'nm0768178', 'nm0250066', 'nm0137046']	['nm0000040']
tt0049470	The Man Who Knew Too Much	1956.0	['Drama', 'Thriller']	['nm0000071', 'nm0587061', 'nm0874298', 'nm0004625', 'nm0927692', 'nm0610253', 'nm0647606']	['nm0000033']
tt0049730	The Searchers	1956.0	['Adventure', 'Drama', 'Western']	['nm0000078', 'nm0001374', 'nm0000955', 'nm0702798', 'nm0104770', 'nm0104770', 'nm0193411', 'nm0001013']	['nm0000406']
tt0049833	The Ten Commandments	1956.0	['Adventure', 'Drama', 'Family']	['nm0000032', 'nm0000989', 'nm0000064', 'nm0001135', 'nm0362567']	['nm0001124']
tt0050083	12 Angry Men	1957.0	['Crime', 'Drama']	['nm0000020', 'nm0002011', 'nm0000842', 'nm0275835', 'nm0550855', 'nm0001430', 'nm0083081', 'nm0912001', 'nm0842137', 'nm0003225']	['nm0001486']
tt0050212	The Bridge on the River Kwai	1957.0	['Adventure', 'Drama', 'War']	['nm0000034', 'nm0000027', 'nm0370144', 'nm0370564', 'nm0232019', 'nm0395012', 'nm0603682', 'nm0931463', 'nm0101533', 'nm0378612']	['nm0000180']
tt0050613	Throne of Blood	1957.0	['Drama']	['nm0001536', 'nm0156928', 'nm0793766', 'nm0473530', 'nm0846187', 'nm0765825', 'nm0793643', 'nm0462679', 'nm0879918']	['nm0000041']
tt0050783	Nights of Cabiria	1957.0	['Drama']	['nm0673749', 'nm0798570', 'nm0320942', 'nm0664811', 'nm0851024', 'nm0623443', 'nm0046673']	['nm0000019']
tt0050825	Paths of Glory	1957.0	['Drama', 'War']	['nm0000018', 'nm0576127', 'nm0579663', 'nm0534317', 'nm0606998', 'nm0027323', 'nm0877185', 'nm0369617', 'nm0135044', 'nm0135044']	['nm0000040']
tt0050976	The Seventh Seal	1957.0	['Drama', 'Fantasy']	['nm0001884', 'nm0085038', 'nm0252345', 'nm0691555', 'nm0691555', 'nm0025940']	['nm0000005']
tt0050986	Wild Strawberries	1957.0	['Drama', 'Romance']	['nm0803705', 'nm0085038', 'nm0839212', 'nm0084761']	['nm0000005']
tt0051201	Witness for the Prosecution	1957.0	['Crime', 'Drama', 'Mystery']	['nm0000061', 'nm0001452', 'nm0002369', 'nm0199787', 'nm0938052', 'nm0857147']	['nm0000697']
tt0051459	Cat on a Hot Tin Roof	1958.0	['Drama']	['nm0000056', 'nm0412322', 'nm0007217', 'nm0309588', 'nm0853299', 'nm0179317']	['nm0112218']
tt0052311	Touch of Evil	1958.0	['Crime', 'Drama', 'Film-Noir']	['nm0000032', 'nm0000080', 'nm0130407', 'nm0848667', 'nm0172615', 'nm0915840', 'nm0212037', 'nm0590123']	['nm0000080']
tt0052357	Vertigo	1958.0	['Mystery', 'Romance', 'Thriller']	['nm0000071', 'nm0375738', 'nm0428216', 'nm0047450', 'nm0790164', 'nm0013866']	['nm0000033']
tt0052561	Anatomy of a Murder	1959.0	['Drama', 'Mystery']	['nm0000071', 'nm0001262', 'nm0640023', 'nm0001715', 'nm0004730', 'nm0114612', 'nm0358069']	['nm0695937']
tt0052618	Ben-Hur	1959.0	['Adventure', 'Drama']	['nm0000032', 'nm0370144', 'nm0000963', 'nm0341518', 'nm0415488', 'nm0192958', 'nm0192958', 'nm0861930']	['nm0943758']
