tconst	primaryTitle	startYear	genres	actors	directors
tt0800039	Forgetting Sarah Marshall	2008.0	['Comedy', 'Drama', 'Romance']	['nm0781981', 'nm0748620', 'nm1258970', 'nm0352778', 'nm1442113', 'nm1711334']	['nm0831557']
tt0800069	The Hills Have Eyes 2	2007.0	['Horror', 'Thriller']	['nm0889846', 'nm0809344', 'nm0438055', 'nm0010264', 'nm0462116', 'nm0667574', 'nm0721680', 'nm1595515']	['nm1170286']
tt0800080	The Incredible Hulk	2008.0	['Action', 'Adventure', 'Sci-Fi']	['nm0001570', 'nm0000619', 'nm0000458', 'nm0625789', 'nm0123092', 'nm0579795', 'nm0002073', 'nm0002073', 'nm0813015']	['nm0504642']
tt0800241	Transsiberian	2008.0	['Crime', 'Drama', 'Mystery']	['nm0000437', 'nm0001426', 'nm0635330', 'nm0470981', 'nm0157255', 'nm0567881', 'nm0830479', 'nm2547259']	['nm0026442']
tt0800308	Appaloosa	2008.0	['Action', 'Crime', 'Drama']	['nm0000438', 'nm0001557', 'nm0000460', 'nm0419445', 'nm1182011', 'nm0366890', 'nm0850793', 'nm0005089', 'nm0544882']	['nm0000438']
tt0800320	Clash of the Titans	2010.0	['Action', 'Adventure', 'Fantasy']	['nm0941777', 'nm0000553', 'nm0000146', 'nm0002076', 'nm0002076', 'nm0586568', 'nm1812656']	['nm0504642']
tt0800325	The Dirt	2019.0	['Biography', 'Comedy', 'Drama']	['nm3150488', 'nm3701064', 'nm0446622', 'nm3206486', 'nm2473806', 'nm6778538', 'nm4054025']	['nm0871860']
tt0800369	Thor	2011.0	['Action', 'Fantasy']	['nm1165110', 'nm0000164', 'nm1089991', 'nm0001745', 'nm0163988', 'nm0272173', 'nm0252961', 'nm0829032']	['nm0000110']
tt0803096	Warcraft	2016.0	['Action', 'Adventure', 'Fantasy']	['nm1379938', 'nm0004936', 'nm1002641', 'nm1527905', 'nm1527905', 'nm3115493', 'nm2059117', 'nm0000317', 'nm0943079']	['nm1512910']
tt0804461	Death Sentence	2007.0	['Action', 'Crime', 'Thriller']	['nm0000102', 'nm0000422', 'nm1330560', 'nm1408531', 'nm1900442', 'nm0641610', 'nm1346230', 'nm1861893']	['nm1490123']
tt0804497	It's Kind of a Funny Story	2010.0	['Comedy', 'Drama', 'Romance']	['nm1507857', 'nm0302108', 'nm0300712', 'nm0541902', 'nm1357224', 'nm1837986']	['nm1349818', 'nm0281396']
tt0804522	Rendition	2007.0	['Drama', 'Thriller']	['nm0350453', 'nm0765597', 'nm0000273', 'nm1272540', 'nm0620981', 'nm0799777', 'nm0008787']	['nm0004303']
tt0805564	Lars and the Real Girl	2007.0	['Comedy', 'Drama', 'Romance']	['nm0331516', 'nm0773973', 'nm0717395', 'nm0502085', 'nm0098232']	['nm0318916']
tt0805570	The Midnight Meat Train	2008.0	['Horror', 'Mystery', 'Thriller']	['nm0005068', 'nm0177896', 'nm0058372', 'nm0192889', 'nm0414772', 'nm0001646']	['nm0457565']
tt0806203	Carriers	2009.0	['Adventure', 'Drama', 'Horror']	['nm1517976', 'nm1086384', 'nm0005221', 'nm1239550', 'nm0608601', 'nm0077595', 'nm2060832']	['nm0665041', 'nm1883612']
tt0808151	Angels & Demons	2009.0	['Action', 'Mystery', 'Thriller']	['nm0000158', 'nm0000191', 'nm0001745', 'nm0269419', 'nm0509263', 'nm0000090', 'nm0511892', 'nm0664727', 'nm0299289']	['nm0000165']
tt0808279	Funny Games	2007.0	['Crime', 'Drama', 'Thriller']	['nm0000619', 'nm0685856', 'nm1227232', 'nm1492784', 'nm0301305', 'nm0526986']	['nm0359734']
tt0808417	Persepolis	2007.0	['Animation', 'Biography', 'Drama']	['nm0008787', 'nm0422045', 'nm0303145', 'nm1065166']	['nm1749112', 'nm2277869']
tt0808506	The Girl Who Leapt Through Time	2006.0	['Adventure', 'Animation', 'Comedy']	['nm1897007', 'nm2337967', 'nm2409691', 'nm0846192']	['nm0396074']
tt0808510	Tooth Fairy	2010.0	['Comedy', 'Family', 'Fantasy']	['nm0425005', 'nm0580351', 'nm0992042', 'nm0532235', 'nm0255175', 'nm1040365', 'nm0423637']	['nm0501185']
tt0810819	The Danish Girl	2015.0	['Biography', 'Crime', 'Drama']	['nm1519666', 'nm0924210', 'nm0771621', 'nm2447755', 'nm0119100', 'nm1177117']	['nm0393799']
tt0810913	Jack and Jill	2011.0	['Comedy']	['nm0001191', 'nm0001191', 'nm0000199', 'nm4575116', 'nm0220240', 'nm0220240', 'nm0005450', 'nm0841910', 'nm0005218', 'nm0184445']	['nm0240797']
tt0810922	Take Me Home Tonight	2011.0	['Comedy', 'Drama', 'Romance']	['nm0333410', 'nm0283945', 'nm0695435', 'nm0000299', 'nm1336595']	['nm0236226']
tt0811080	Speed Racer	2008.0	['Action', 'Adventure', 'Comedy']	['nm0386472', 'nm0289142', 'nm1675002', 'nm2187603', 'nm0304694', 'nm0273033']	['nm0905154', 'nm0905152']
tt0811138	The Love Guru	2008.0	['Comedy', 'Romance', 'Sport']	['nm0000196', 'nm0000196', 'nm0000196', 'nm0539082', 'nm1577190', 'nm0159149', 'nm1187943', 'nm0005493', 'nm0873942']	['nm0773605']
tt0814022	Bangkok Dangerous	2008.0	['Action', 'Crime', 'Thriller']	['nm0000115', 'nm1395312', 'nm0437747', 'nm1742063', 'nm3111515', 'nm2352129', 'nm2355521', 'nm0999139']	['nm0659380', 'nm0161152']
tt0814255	Percy Jackson & the Olympians: The Lightning Thief	2010.0	['Adventure', 'Family', 'Fantasy']	['nm0503567', 'nm0571727', 'nm0176869', 'nm1040365', 'nm1831976', 'nm0000293', 'nm0000112', 'nm0000112']	['nm0001060']
tt0814314	Seven Pounds	2008.0	['Drama', 'Mystery', 'Thriller']	['nm0000226', 'nm0000437', 'nm1013003', 'nm0001608', 'nm1099085', 'nm1099085', 'nm0810488', 'nm0445551']	['nm0610831']
tt0815236	She's Out of My League	2010.0	['Comedy', 'Romance']	['nm0059431', 'nm2554352', 'nm1036181', 'nm1535594', 'nm1531180']	['nm1637768']
tt0815241	Religulous	2008.0	['Comedy', 'Documentary', 'War']	[]	['nm0153078']
tt0815244	Sydney White	2007.0	['Comedy', 'Drama', 'Romance']	['nm1668265', 'nm2358430', 'nm0397386', 'nm0376307', 'nm0834960', 'nm0505949']	['nm0638271']
tt0815245	The Uninvited	2009.0	['Drama', 'Fantasy', 'Horror']	['nm0000657', 'nm0574081', 'nm1536605', 'nm0316932', 'nm0204493']	['nm0345294', 'nm0345307']
tt0816442	The Book Thief	2013.0	['Drama', 'War']	['nm0001691', 'nm3115493', 'nm0019885', 'nm0019885', 'nm6065914', 'nm0486124', 'nm0718030']	['nm1093053']
tt0816462	Conan the Barbarian	2011.0	['Action', 'Adventure', 'Fantasy']	['nm0597388', 'nm0000579', 'nm0002332', 'nm1452211', 'nm1795989', 'nm0640838', 'nm1996829', 'nm0712562']	['nm1197971']
tt0816692	Interstellar	2014.0	['Adventure', 'Drama', 'Sci-Fi']	['nm0000190', 'nm0001475', 'nm3154303', 'nm0654648', 'nm0565133']	['nm0634240']
tt0816711	World War Z	2013.0	['Action', 'Adventure', 'Horror']	['nm0000093', 'nm0197647', 'nm0091253', 'nm0289142', 'nm0596350', 'nm0001556', 'nm1175468', 'nm0134922']	['nm0286975']
tt0817177	Flipped	2010.0	['Comedy', 'Drama', 'Romance']	['nm2786608', 'nm0000381', 'nm0001498', 'nm0001644', 'nm0918858', 'nm2980890']	['nm0001661']
tt0817230	Valentine's Day	2010.0	['Comedy', 'Romance']	['nm0004937', 'nm0177896', 'nm0199312', 'nm0001131', 'nm0001185']	['nm0005190']
tt0817538	Drillbit Taylor	2008.0	['Action', 'Comedy', 'Crime']	['nm0005562', 'nm0669681', 'nm1372713', 'nm2107837', 'nm1795630', 'nm0731168', 'nm0091356', 'nm0091357']	['nm0109359']
tt0821640	Ghosts of Girlfriends Past	2009.0	['Comedy', 'Fantasy', 'Romance']	['nm0000190', 'nm0000140', 'nm0005227', 'nm0001233', 'nm0839326']	['nm0914132']
tt0821642	The Soloist	2009.0	['Biography', 'Drama', 'Music']	['nm0004937', 'nm0000375', 'nm0390903', 'nm1734700', 'nm0740535', 'nm0552595']	['nm0942504']
tt0822832	Marley & Me	2008.0	['Drama', 'Family']	['nm0005562', 'nm0199312', 'nm0000273', 'nm1997480', 'nm0676370', 'nm3124890']	['nm0291205']
tt0822847	Priest	2011.0	['Action', 'Fantasy', 'Horror']	['nm0079273', 'nm1544217', 'nm0881631', 'nm0000374', 'nm0610459', 'nm0001626', 'nm0197638']	['nm0829820']
tt0822854	Shooter	2007.0	['Action', 'Drama', 'Thriller']	['nm0000242', 'nm0671567', 'nm0000418', 'nm0000480', 'nm0907896', 'nm0274371', 'nm0004883', 'nm0784884']	['nm0298807']
tt0824747	Changeling	2008.0	['Biography', 'Crime', 'Drama']	['nm0272173', 'nm1072959', 'nm0939703']	['nm0000142']
tt0825232	The Bucket List	2007.0	['Adventure', 'Comedy', 'Drama']	['nm0000197', 'nm0000151', 'nm0005003', 'nm0001555', 'nm0293285', 'nm2867259']	['nm0001661']
tt0829150	Dracula Untold	2014.0	['Action', 'Drama', 'Fantasy']	['nm1812656', 'nm1002641', 'nm3280686', 'nm0001097', 'nm2846393', 'nm0443373', 'nm0396908', 'nm0403168', 'nm0895812']	['nm2411495']
tt0829482	Superbad	2007.0	['Comedy']	['nm0148418', 'nm1706767', 'nm2395586', 'nm0352778', 'nm0736622', 'nm0516266', 'nm0180984']	['nm0609549']
tt0830515	Quantum of Solace	2008.0	['Action', 'Adventure', 'Mystery']	['nm0185819', 'nm0023832', 'nm0316284', 'nm0942482', 'nm1092086', 'nm0159802', 'nm0851458']	['nm0286975']
tt0831387	Godzilla	2014.0	['Action', 'Adventure', 'Sci-Fi']	['nm1093951', 'nm0186505', 'nm0913822', 'nm2640264', 'nm3395766', 'nm0000657', 'nm0429114']	['nm2284484']
tt0831887	The Spirit	2008.0	['Action', 'Crime', 'Fantasy']	['nm0532683', 'nm0000168', 'nm0314767', 'nm2487126', 'nm0552157', 'nm0718141']	['nm0588340']
tt0832266	Definitely, Maybe	2008.0	['Comedy', 'Drama', 'Romance']	['nm0005351', 'nm1353135', 'nm0220257', 'nm1331513', 'nm2920344']	['nm0111845']
tt0834001	Underworld: Rise of the Lycans	2009.0	['Action', 'Fantasy', 'Thriller']	['nm0790688', 'nm0631490', 'nm0533599', 'nm0340485', 'nm0040058', 'nm1055186', 'nm3265436']	['nm0851281']
tt0837562	Hotel Transylvania	2012.0	['Adventure', 'Animation', 'Comedy']	['nm0001191', 'nm0416673', 'nm1676221', 'nm0000114', 'nm0005450', 'nm0123741', 'nm0001484']	['nm0850733']
tt0837563	Pet Sematary	2019.0	['Horror', 'Mystery', 'Thriller']	['nm0164809', 'nm0001475', 'nm9923811', 'nm9923812', 'nm7744278', 'nm0774891']	['nm1556116', 'nm1552637']
tt0838221	The Darjeeling Limited	2007.0	['Adventure', 'Comedy', 'Drama']	['nm0005562', 'nm0004778', 'nm0005403', 'nm0938645', 'nm1753302', 'nm0451234', 'nm0775447', 'nm0000195']	['nm0027572']
tt0838283	Step Brothers	2008.0	['Comedy']	['nm0002071', 'nm0000604', 'nm0420955', 'nm0004395', 'nm1407647', 'nm2421725']	['nm0570912']
tt0839980	Semi-Pro	2008.0	['Comedy', 'Sport']	['nm0002071', 'nm0000437', 'nm0071275', 'nm0198408', 'nm0004715', 'nm0725200', 'nm0462712', 'nm1117791', 'nm0909768']	['nm0022768']
tt0840361	The Town	2010.0	['Crime', 'Drama', 'Thriller']	['nm0000255', 'nm0358316', 'nm0719637', 'nm2282835', 'nm4024978', 'nm0920038', 'nm0000592', 'nm0177933']	['nm0000255']
tt0841046	Walk Hard: The Dewey Cox Story	2007.0	['Comedy', 'Music']	['nm0000604', 'nm0472710', 'nm0269542', 'nm0005218', 'nm1739782', 'nm1585445', 'nm0000855', 'nm0064065']	['nm0440458']
tt0842926	The Kids Are All Right	2010.0	['Comedy', 'Drama', 'Romance']	['nm0749263', 'nm1242688', 'nm1485036', 'nm1721196', 'nm0308299']	['nm0158966']
tt0844286	The Brothers Bloom	2008.0	['Action', 'Adventure', 'Comedy']	['nm0004778', 'nm0749263', 'nm0001059', 'nm0001703', 'nm0419633', 'nm2325393', 'nm2504006', 'nm0638762']	['nm0426059']
tt0844471	Cloudy with a Chance of Meatballs	2009.0	['Adventure', 'Animation', 'Comedy']	['nm0352778', 'nm0132257', 'nm0001001', 'nm1676221', 'nm0001558', 'nm1442928', 'nm0000973', 'nm0000439', 'nm0737963']	['nm0520488', 'nm0588087']
tt0844479	The Collector	2009.0	['Crime', 'Horror', 'Thriller']	['nm1577637', 'nm0273592', 'nm0695087', 'nm0121805']	['nm1729303']
tt0844708	The Last House on the Left	2009.0	['Horror', 'Thriller']	['nm0226813', 'nm0001282', 'nm0100889', 'nm0185104', 'nm0666739', 'nm0004829']	['nm1531934']
tt0848228	The Avengers	2012.0	['Action', 'Sci-Fi']	['nm0000375', 'nm0000375', 'nm0262635', 'nm0262635', 'nm0719637', 'nm0719637', 'nm0749263', 'nm0749263', 'nm1165110', 'nm1089991', 'nm0163988', 'nm0001745']	['nm0923736']
tt0848537	Epic	2013.0	['Action', 'Adventure', 'Animation']	['nm1242688', 'nm0268199', 'nm2981935', 'nm2106637', 'nm0175828', 'nm0175828', 'nm1423742', 'nm0224007']	['nm0917188']
tt0851578	Paprika	2006.0	['Animation', 'Drama', 'Fantasy']	['nm0256609', 'nm0394653', 'nm0299228', 'nm0945290', 'nm0960033', 'nm0848987', 'nm1160233', 'nm0412628']	['nm0464804']
tt0852713	The House Bunny	2008.0	['Comedy']	['nm0004988', 'nm0005005', 'nm0001520']	['nm0937748']
tt0859163	The Mummy: Tomb of the Dragon Emperor	2008.0	['Action', 'Adventure', 'Fantasy']	['nm0000409', 'nm0001472', 'nm0001314', 'nm1047329', 'nm0938893', 'nm0005568', 'nm0192377']	['nm0003418']
tt0861689	Blindness	2008.0	['Drama', 'Mystery', 'Thriller']	['nm0749263', 'nm0305558', 'nm0305558', 'nm0410832', 'nm3135043', 'nm1551844', 'nm0000418', 'nm0001528', 'nm0289600']	['nm0576987']
tt0861739	Elite Squad	2007.0	['Action', 'Crime', 'Drama']	['nm0609944', 'nm2386123', 'nm0432753', 'nm1141101', 'nm2410211', 'nm0271263', 'nm0997304']	['nm0655683']
tt0862467	Valhalla Rising	2009.0	['Action', 'Adventure', 'Drama']	['nm0586568', 'nm3063003', 'nm0607916', 'nm0692301', 'nm0952129', 'nm1446625', 'nm0566440', 'nm0281005', 'nm3063843', 'nm0507207']	['nm0716347']
tt0862846	Sunshine Cleaning	2008.0	['Comedy', 'Drama']	['nm0000273', 'nm1555151', 'nm0001872', 'nm0004286', 'nm0647638', 'nm0233209', 'nm0152430']	['nm0420422']
tt0862856	Trick 'r Treat	2007.0	['Comedy', 'Horror']	['nm0004051', 'nm0048414', 'nm2051265', 'nm2051265', 'nm0671886', 'nm0962260']	['nm1002424']
tt0864761	The Duchess	2008.0	['Biography', 'Drama', 'History']	['nm0000146', 'nm1002641', 'nm0564402', 'nm1264521', 'nm0795344', 'nm0677944', 'nm0324009']	['nm1314116']
tt0864835	Mr. Peabody & Sherman	2014.0	['Adventure', 'Animation', 'Comedy']	['nm0123092', 'nm1934618', 'nm0170306', 'nm0034398', 'nm3557613', 'nm3019095']	['nm0591450']
tt0865556	The Forbidden Kingdom	2008.0	['Action', 'Adventure', 'Fantasy']	['nm0000329', 'nm0000329', 'nm0001472', 'nm0001472', 'nm0029400', 'nm2110810', 'nm2649372', 'nm2973459', 'nm2973466', 'nm2901394']	['nm0591450']
tt0866439	Made of Honor	2008.0	['Comedy', 'Romance']	['nm0001131', 'nm0571727', 'nm0362429', 'nm0582149', 'nm0037118']	['nm0917992']
tt0870111	Frost/Nixon	2008.0	['Biography', 'Drama', 'History']	['nm0001449', 'nm0790688', 'nm0000102', 'nm0005377', 'nm0532193', 'nm0001624', 'nm0429363', 'nm0586994']	['nm0000165']
tt0870154	Jungle Cruise	2021.0	['Action', 'Adventure', 'Comedy']	['nm0425005', 'nm1183149', 'nm3099754', 'nm0687146', 'nm0316079', 'nm3657043', 'nm1273697', 'nm6786824']	['nm1429471']
tt0870984	Antichrist	2009.0	['Drama', 'Horror', 'Thriller']	['nm0000353', 'nm3527143']	['nm0001885']
tt0871510	Chak De! India	2007.0	['Drama', 'Family', 'Sport']	['nm0451321']	['nm0024912']
tt0873886	Red State	2011.0	['Action', 'Horror', 'Thriller']	['nm0662981', 'nm0000422', 'nm0029400', 'nm1002609', 'nm2193611', 'nm1237687', 'nm0973177']	['nm0003620']
tt0876563	Ponyo	2008.0	['Adventure', 'Animation', 'Comedy']	['nm0000354', 'nm0000354', 'nm0000553', 'nm0000553', 'nm1031551', 'nm0865776', 'nm3023690']	['nm0594503']
tt0878804	The Blind Side	2009.0	['Biography', 'Drama', 'Sport']	['nm2466842', 'nm0005210', 'nm2052567', 'nm0571964']	['nm0359387']
tt0879870	Eat Pray Love	2010.0	['Biography', 'Drama', 'Romance']	['nm0000849', 'nm0420955', 'nm4001891', 'nm3741301', 'nm0001082', 'nm3724507', 'nm0005282']	['nm0614682']
tt0880578	Untraceable	2008.0	['Crime', 'Mystery', 'Thriller']	['nm0004988', 'nm0189200', 'nm0121605', 'nm1843993', 'nm1654831', 'nm0212498', 'nm0184086']	['nm0387706']
tt0881320	Sanctum	2011.0	['Action', 'Adventure', 'Drama']	['nm1973422', 'nm0048336', 'nm0746896', 'nm0344435', 'nm0943814', 'nm0128889', 'nm1313112']	['nm0340958']
tt0882977	Snitch	2013.0	['Action', 'Drama', 'Thriller']	['nm0425005', 'nm1256532', 'nm1969169', 'nm0001608', 'nm0931324', 'nm0000973']	['nm0006846']
tt0884328	The Mist	2007.0	['Horror', 'Sci-Fi', 'Thriller']	['nm0005048', 'nm0105672', 'nm0429363', 'nm0006669', 'nm0218810', 'nm1997480']	['nm0001104']
tt0884732	The Wedding Ringer	2015.0	['Comedy', 'Romance']	['nm0366389', 'nm0366389', 'nm1265802', 'nm1649714', 'nm1649714', 'nm0306201', 'nm0306201', 'nm2872012', 'nm2872012', 'nm1189640', 'nm1189640', 'nm0397432', 'nm5102355', 'nm5102355']	['nm1275670']
tt0887261	Hellraiser	2022.0	['Horror', 'Mystery', 'Thriller']	['nm7606991', 'nm6481846', 'nm8210730', 'nm4272467', 'nm12520505']	['nm1410159']
tt0887883	Burn After Reading	2008.0	['Comedy', 'Crime', 'Drama']	['nm0000093', 'nm0000123', 'nm0000518', 'nm0420955', 'nm0711058', 'nm0799777', 'nm0472762']	['nm0001053', 'nm0001054']
tt0887912	The Hurt Locker	2008.0	['Drama', 'Thriller', 'War']	['nm0719637', 'nm1107001', 'nm1310016', 'nm0001602', 'nm0000146', 'nm0001556', 'nm0131235', 'nm2778904', 'nm3441508']	['nm0000941']
tt0889573	The Switch	2010.0	['Comedy', 'Drama', 'Romance']	['nm0000867', 'nm0933940', 'nm0000156', 'nm1043006', 'nm0521974', 'nm2040932']	['nm0330347', 'nm0817447']
tt0889583	Brüno	2009.0	['Comedy']	['nm0056187', 'nm0358390', 'nm3042403', 'nm3495911', 'nm3495008', 'nm0583570', 'nm0390491', 'nm0400100', 'nm0740962', 'nm0740951']	['nm0153078']
tt0890870	Saw IV	2007.0	['Horror', 'Mystery', 'Thriller']	['nm0068551', 'nm0068551', 'nm0666398', 'nm0274371', 'nm0541908', 'nm0072713', 'nm0721951', 'nm0005531', 'nm0005171']	['nm1135423']
tt0891527	Lions for Lambs	2007.0	['Crime', 'Drama', 'Mystery']	['nm0000129', 'nm0000602', 'nm0671567', 'nm1940449', 'nm0000916', 'nm0242656', 'nm1035682', 'nm0060966', 'nm0561894']	['nm0000602']
tt0892318	Letters to Juliet	2010.0	['Adventure', 'Comedy', 'Drama']	['nm0305558', 'nm3880942', 'nm3881196', 'nm3881053']	['nm0935095']
tt0892769	How to Train Your Dragon	2010.0	['Action', 'Adventure', 'Animation']	['nm0059431', 'nm0124930', 'nm2395586', 'nm0272401', 'nm1706767', 'nm2554352', 'nm0235960', 'nm1213504']	['nm0213450', 'nm0761498']
tt0892782	Monsters vs. Aliens	2009.0	['Action', 'Adventure', 'Animation']	['nm0933988', 'nm0170306', 'nm0736622', 'nm0491402', 'nm0004715', 'nm0000662', 'nm0748620', 'nm0001787']	['nm1224299', 'nm0970447']
tt0892791	Shrek Forever After	2010.0	['Adventure', 'Animation', 'Comedy']	['nm0000196', 'nm0000552', 'nm0000104', 'nm0358316', 'nm0000092', 'nm0230666', 'nm0230666', 'nm0230666', 'nm0732497']	['nm0593610']
tt0898367	The Road	2009.0	['Drama', 'Thriller']	['nm0001557', 'nm2240346', 'nm0000380', 'nm0001602', 'nm0931324', 'nm0226813', 'nm0421114']	['nm0384825']
tt0901476	Bride Wars	2009.0	['Comedy', 'Romance']	['nm1034965', 'nm0695435', 'nm0992538', 'nm2260797', 'nm0805789']	['nm0935095']
tt0903624	The Hobbit: An Unexpected Journey	2012.0	['Adventure', 'Fantasy']	['nm0293509', 'nm0005212', 'nm0035514', 'nm0785227', 'nm0832792', 'nm0574615', 'nm0456270', 'nm0456270', 'nm0626362', 'nm1053536', 'nm0641063']	['nm0001392']
tt0905372	The Thing	2011.0	['Horror', 'Mystery', 'Sci-Fi']	['nm0249291', 'nm0860947', 'nm0647638', 'nm0015382', 'nm0105951', 'nm0782627', 'nm0486433', 'nm0754031']	['nm0374048']
tt0907657	Once	2006.0	['Drama', 'Music', 'Romance']	['nm0360598', 'nm2008013', 'nm2478608', 'nm2604944', 'nm1142165', 'nm1030088', 'nm0372241', 'nm0926685']	['nm0138809']
tt0910936	Pineapple Express	2008.0	['Action', 'Comedy', 'Crime']	['nm0736622', 'nm0290556', 'nm0170550', 'nm1144419', 'nm0180984', 'nm0732497', 'nm0000893']	['nm0337773']
tt0910970	WALL·E	2008.0	['Adventure', 'Animation', 'Family']	['nm0123785', 'nm0123785', 'nm0307531', 'nm0929609', 'nm3050831', 'nm0001652']	['nm0004056']
tt0914798	The Boy in the Striped Pajamas	2008.0	['Drama', 'War']	['nm2633535', 'nm0000667', 'nm1670029', 'nm2726789', 'nm2705126', 'nm2646294']	['nm0379179']
tt0914863	Unthinkable	2010.0	['Crime', 'Drama', 'Thriller']	['nm0000168', 'nm0790688', 'nm0740535', 'nm0233027', 'nm0004743', 'nm0488095', 'nm0746125', 'nm0367176']	['nm0429963']
tt0918927	Doubt	2008.0	['Drama', 'Mystery']	['nm0000450', 'nm0182569', 'nm2899705']	['nm0788234']
tt0918940	The Legend of Tarzan	2016.0	['Action', 'Adventure', 'Drama']	['nm0002907', 'nm0002907', 'nm4920741', 'nm7222287', 'nm0910607', 'nm0000168', 'nm7760612', 'nm3247700', 'nm2950654', 'nm6431237']	['nm0946734']
tt0926084	Harry Potter and the Deathly Hallows: Part 1	2010.0	['Adventure', 'Family', 'Fantasy']	['nm0705356', 'nm0342488', 'nm0631490', 'nm0341743', 'nm0577982', 'nm0446432']	['nm0946734']
tt0929425	Gomorrah	2008.0	['Crime', 'Drama']	['nm0408238', 'nm2992307', 'nm0785842', 'nm3013376', 'nm2954640', 'nm3012922', 'nm3013934', 'nm3013062', 'nm1391143', 'nm3570765']	['nm0308520']
tt0929632	Precious	2009.0	['Drama']	['nm0005107']	['nm0200005']
tt0935075	Rabbit Hole	2010.0	['Drama']	['nm0001173', 'nm1886602', 'nm0002064', 'nm0855103', 'nm0537554', 'nm0236451']	['nm0593463']
tt0936501	Taken	2008.0	['Action', 'Crime', 'Thriller']	['nm0000553', 'nm0650702', 'nm0340973', 'nm0913175', 'nm0075359', 'nm0705005']	['nm0603628']
tt0938283	The Last Airbender	2010.0	['Action', 'Adventure', 'Family']	['nm3226241', 'nm1717152', 'nm2353862', 'nm0869467', 'nm0541902', 'nm0193295', 'nm0347341']	['nm0796117']
tt0938330	Silent Hill: Revelation	2012.0	['Horror', 'Mystery', 'Thriller']	['nm3229685', 'nm0000293', 'nm0000532', 'nm0233027', 'nm1716739']	['nm1068186']
tt0942385	Tropic Thunder	2008.0	['Action', 'Comedy', 'War']	['nm0001774', 'nm0085312', 'nm0000375', 'nm0434854', 'nm0749570', 'nm0059431', 'nm1040365', 'nm0936122', 'nm0176869']	['nm0001774']
tt0944835	Salt	2010.0	['Action', 'Thriller']	['nm0000630', 'nm0252230', 'nm0646037', 'nm0225944', 'nm0668905', 'nm0088725', 'nm0105672', 'nm0472762']	['nm0637518']
tt0945513	Source Code	2011.0	['Action', 'Drama', 'Mystery']	['nm0350453', 'nm0942482', 'nm2260797', 'nm0031679', 'nm0992289', 'nm2287876', 'nm0858656', 'nm0557619']	['nm1512910']
tt0947798	Black Swan	2010.0	['Drama', 'Thriller']	['nm0001993', 'nm0001993', 'nm1018521', 'nm1018521', 'nm1659221', 'nm1659221']	['nm0004716']
tt0947802	Lakeview Terrace	2008.0	['Crime', 'Drama', 'Thriller']	['nm0000168', 'nm0933940', 'nm0322002', 'nm0150362', 'nm0379596', 'nm1556399', 'nm0683986', 'nm0518828']	['nm0001438']
tt0947810	Green Zone	2010.0	['Action', 'Drama', 'Thriller']	['nm0000354', 'nm0005042', 'nm0001427', 'nm0620981', 'nm0267057', 'nm1424285', 'nm3043480', 'nm1072565', 'nm0217388', 'nm1011341']	['nm0339030']
tt0948470	The Amazing Spider-Man	2012.0	['Action', 'Adventure', 'Sci-Fi']	['nm1940449', 'nm1940449', 'nm0406975', 'nm0406975', 'nm0451234', 'nm0001459', 'nm0000640', 'nm0001714', 'nm3024712']	['nm1989536']
tt0949731	The Happening	2008.0	['Adventure', 'Drama', 'Sci-Fi']	['nm0000242', 'nm0000491', 'nm0107748', 'nm0047121', 'nm0172806', 'nm0834989', 'nm0001688']	['nm0796117']
tt0952640	Alvin and the Chipmunks	2007.0	['Adventure', 'Comedy', 'Family']	['nm0005134', 'nm0046559', 'nm0046559', 'nm0189144', 'nm0519043', 'nm1131557', 'nm0565366']	['nm0384722']
tt0955308	Robin Hood	2010.0	['Action', 'Adventure', 'Drama']	['nm0000128', 'nm0532193', 'nm0001884', 'nm0000458', 'nm0835016', 'nm1209966', 'nm0396812', 'nm0004692']	['nm0000631']
tt0959337	Revolutionary Road	2008.0	['Drama', 'Romance']	['nm0000138', 'nm0280199', 'nm0745751', 'nm2016364', 'nm0742081']	['nm0005222']
tt0960144	You Don't Mess with the Zohan	2008.0	['Action', 'Comedy']	['nm0001191', 'nm0001806', 'nm0841910', 'nm1504979', 'nm0001705', 'nm0559986', 'nm0119354']	['nm0240797']
tt0960731	Bedtime Stories	2008.0	['Adventure', 'Comedy', 'Family']	['nm0001191', 'nm0001602', 'nm1258970', 'nm0341743', 'nm2384128']	['nm0788202']
tt0962726	High School Musical 3: Senior Year	2008.0	['Comedy', 'Drama', 'Family']	['nm1374980', 'nm1727317', 'nm0088298', 'nm0912703', 'nm0760835']	['nm0650905']
tt0962736	The Young Victoria	2009.0	['Biography', 'Drama', 'History']	['nm1670029', 'nm0079273', 'nm0000980', 'nm0470981', 'nm0835016', 'nm0159802']	['nm0885249']
tt0963178	The International	2009.0	['Action', 'Crime', 'Drama']	['nm0654110', 'nm0000090', 'nm0860947', 'nm0639928', 'nm0901401', 'nm0049346', 'nm0898377', 'nm1880549', 'nm0082211']	['nm0878756']
tt0963794	The Ruins	2008.0	['Adventure', 'Horror', 'Thriller']	['nm0039162', 'nm0006958', 'nm1725848', 'nm0129564', 'nm3002410', 'nm2962022', 'nm2683224', 'nm2961948']	['nm2127650']
